# User: ACHyster
# File name: C:/ACHYSTER/ACHyster SENS/SHAMS/CoFe2O4-1gl-water-Zero Glycerol- Sens-07-03-2023/CoFe2O4-1gl-water-zero Glycerol- 10_100F- 24kAm -Sens-07-03-20230003#1.txt
# Saved at: ma. mar. 7 14:41:34 2023
# Hyster Loop (3 iterations). Intensity: 24.0 kA/m; Tuned frequency: 41.9 kHz
# Units x axis: (kA/m)
# Units y axis: "Repeats y" & "Average y" (10^(-3)Am^2); "Mass avg y" (Am^2/kg)
# Magnetic mass: 4e-05 g
# Parameter      	Repeat   1	Repeat   2	Repeat   3	Average   	Sigma     
# H_C (kA/m)     	      13.3	      13.3	      13.0	      13.2	       0.1
# M_R (Am^2/kg)  	      56.4	      56.5	      56.2	      56.4	       0.1
# M_max (Am^2/kg)	      76.6	      76.1	      78.0	      76.9	       0.8
# Area (mJ/kg)   	    4355.9	    4360.0	    4310.1	    4342.0	      22.6
# SAR (W/g)      	     182.6	     182.8	     180.7	     182.0	       0.9
#Repeat 1 x	Repeat 1 y	Repeat 2 x	Repeat 2 y	Repeat 3 x	Repeat 3 y	Average x 	Average y 	Mass avg x 	Mass avg y 
   3.73299	-0.00184383	   3.77189	-0.00184287	   3.72895	-0.00182527	   3.74461	-0.00183733	   3.74461	  -45.9331	
   3.88063	-0.00182454	     3.921	-0.00182339	    3.8761	-0.00180534	   3.89258	-0.00181776	   3.89258	   -45.444	
   4.02811	-0.00180507	   4.06999	-0.00180377	   4.02299	-0.00178515	   4.04036	-0.00179799	   4.04036	  -44.9498	
   4.17522	-0.00178536	   4.21861	-0.00178391	   4.16967	-0.00176467	   4.18783	-0.00177798	   4.18783	  -44.4495	
   4.32254	-0.00176539	   4.36694	-0.00176377	   4.31592	-0.00174391	   4.33513	-0.00175769	   4.33513	  -43.9423	
   4.46957	-0.00174512	   4.51501	-0.00174333	   4.46182	-0.00172291	   4.48213	-0.00173712	   4.48213	   -43.428	
   4.61645	-0.00172455	   4.66272	-0.00172261	   4.60747	-0.00170169	   4.62888	-0.00171629	   4.62888	  -42.9071	
   4.76366	-0.00170374	   4.81029	-0.00170168	   4.75316	-0.00168027	    4.7757	-0.00169523	    4.7757	  -42.3808	
   4.91067	-0.00168276	   4.95749	-0.00168059	   4.89916	-0.00165862	   4.92244	-0.00167399	   4.92244	  -41.8497	
   5.05806	-0.00166163	   5.10465	-0.00165931	   5.04497	-0.00163669	   5.06923	-0.00165255	   5.06923	  -41.3136	
    5.2053	-0.00164031	   5.25181	-0.00163779	   5.19116	-0.00161448	   5.21609	-0.00163086	   5.21609	  -40.7714	
   5.35217	-0.00161871	   5.39899	-0.00161596	   5.33694	 -0.001592	    5.3627	-0.00160889	    5.3627	  -40.2222	
   5.49899	-0.00159678	   5.54569	-0.00159381	   5.48266	-0.00156928	   5.50911	-0.00158662	   5.50911	  -39.6656	
   5.64553	-0.00157455	   5.69198	-0.00157136	   5.62807	-0.00154636	   5.65519	-0.00156409	   5.65519	  -39.1023	
   5.79212	-0.00155209	   5.83768	-0.00154871	   5.77352	-0.00152323	   5.80111	-0.00154134	   5.80111	  -38.5336	
   5.93879	-0.00152947	    5.9826	-0.00152591	   5.91877	-0.00149985	   5.94672	-0.00151841	   5.94672	  -37.9602	
    6.0845	-0.0015067	    6.1271	-0.00150292	   6.06387	-0.00147619	   6.09182	-0.00149527	   6.09182	  -37.3817	
   6.23042	-0.00148371	   6.27153	-0.00147968	   6.20834	-0.00145226	   6.23676	-0.00147188	   6.23676	  -36.7971	
